cycles,mutation_prob,non_dup_prob,quantization_bits,error_rate
1,0.1,0.0,1,0.41000000000000003
1,0.1,0.0,2,0.37
1,0.1,0.0,3,0.42000000000000004
1,0.1,0.0,4,0.4
1,0.1,0.02,1,0.5
1,0.1,0.02,2,0.43999999999999995
1,0.1,0.02,3,0.44999999999999996
1,0.1,0.02,4,0.44999999999999996
1,0.1,0.04,1,0.44999999999999996
1,0.1,0.04,2,0.49
1,0.1,0.04,3,0.53
1,0.1,0.04,4,0.54
1,0.1,0.06,1,0.7
1,0.1,0.06,2,0.53
1,0.1,0.06,3,0.56
1,0.1,0.06,4,0.6
1,0.1,0.08,1,0.69
1,0.1,0.08,2,0.6
1,0.1,0.08,3,0.6699999999999999
1,0.1,0.08,4,0.5700000000000001
1,0.1,0.1,1,0.75
1,0.1,0.1,2,0.71
1,0.1,0.1,3,0.6699999999999999
1,0.1,0.1,4,0.64
2,0.01,0.0,1,0.050000000000000044
2,0.01,0.0,2,0.07999999999999996
2,0.01,0.0,3,0.06000000000000005
2,0.01,0.0,4,0.06000000000000005
2,0.01,0.02,1,0.22999999999999998
2,0.01,0.02,2,0.18000000000000005
2,0.01,0.02,3,0.19999999999999996
2,0.01,0.02,4,0.18000000000000005
2,0.01,0.04,1,0.29000000000000004
2,0.01,0.04,2,0.25
2,0.01,0.04,3,0.36
2,0.01,0.04,4,0.32999999999999996
2,0.01,0.06,1,0.37
2,0.01,0.06,2,0.31999999999999995
2,0.01,0.06,3,0.31000000000000005
2,0.01,0.06,4,0.39
2,0.01,0.08,1,0.51
2,0.01,0.08,2,0.53
2,0.01,0.08,3,0.47
2,0.01,0.08,4,0.55
2,0.01,0.1,1,0.65
2,0.01,0.1,2,0.53
2,0.01,0.1,3,0.64
2,0.01,0.1,4,0.54
2,0.03,0.0,1,0.10999999999999999
2,0.03,0.0,2,0.08999999999999997
2,0.03,0.0,3,0.15000000000000002
2,0.03,0.0,4,0.13
2,0.03,0.02,1,0.25
2,0.03,0.02,2,0.42000000000000004
2,0.03,0.02,3,0.26
2,0.03,0.02,4,0.27
2,0.03,0.04,1,0.30000000000000004
2,0.03,0.04,2,0.45999999999999996
2,0.03,0.04,3,0.36
2,0.03,0.04,4,0.24
2,0.03,0.06,1,0.49
2,0.03,0.06,2,0.38
2,0.03,0.06,3,0.42000000000000004
2,0.03,0.06,4,0.49
2,0.03,0.08,1,0.48
2,0.03,0.08,2,0.43000000000000005
2,0.03,0.08,3,0.51
2,0.03,0.08,4,0.54
2,0.03,0.1,1,0.5800000000000001
2,0.03,0.1,2,0.5900000000000001
2,0.03,0.1,3,0.5800000000000001
2,0.03,0.1,4,0.55
2,0.05,0.0,1,0.22999999999999998
2,0.05,0.0,2,0.26
2,0.05,0.0,3,0.21999999999999997
2,0.05,0.0,4,0.15000000000000002
2,0.05,0.02,1,0.27
2,0.05,0.02,2,0.35
2,0.05,0.02,3,0.30000000000000004
